䥑	(鿏|䥑)
䥨	(鑢|䥨)
䥩	(𨱖|䥩)
䥱	(䥾|䥱)
䥷	(㔍|䥷)
䥺	(釾|䥺)
䥽	(鏺|䥽)
䥾	(䥱|䥾)
䥿	(𨯅|䥿)
䦀	(𨦫|䦀)
䦁	(𨧜|䦁)
䦂	(䥇|䦂)
䦃	(鐯|䦃)
䦅	(鐥|䦅)
䦓	(覘|𦕒|䦓|觇)
䦘	(𨸄|䦘)
䦛	(䦶|䦛)
䦟	(䦷|䦟)
䦳	(𨷿|䦳)
䦶	(䦛|䦶)
䦷	(䦟|䦷)
䧢	(𨸟|䧢)
䨘	(霰|䨘)
䩞	(韂|䩞)
䪊	(龓|䪊)
䪏	(𩏼|䪏)
䪗	(𩐀|䪗)
䪘	(𩏿|䪘)
䪿	(囟|䪿|倖|幸|顖)
䫴	(𩖗|䫴)
䬒	(颼|䬒|飕)
䬘	(𩙮|䬘)
䬝	(𩙯|䬝)
䬞	(𩙧|䬞)
䬡	(翥|䬡)
䭀	(𩠇|䭀)
䭃	(𩠈|䭃)
䭪	(𩞯|䭪)
䭾	(馱|䭾|駄|驮)
䭿	(𩧭|䭿)
䮝	(𩧰|䮝)
䮞	(𩨁|䮞)
䮠	(𩧿|䮠)
䮫	(𩨇|䮫)
䮳	(𩨏|䮳)
䮾	(𩧪|䮾)
䯀	(䯅|䯀)
䯃	(𩣑|䯃)
䯄	(騧|䯄)
䯅	(䯀|䯅)
䯌	(尻|䯌)
䯻	(髻|䯻)
䰗	(鬮|䰗|阄)
䰾	(鲃|䰾)
䱇	(鱓|䱇|鱔|鳝)
䱙	(𩾈|䱙)
䱬	(𩾊|䱬)
䱰	(𩾋|䱰)
䱷	(䲣|漁|䱷|渔)
䱽	(䲝|鯧|䱽|鲳)
䲁	(鳚|䲁)
䲖	(𩾂|䲖)
䲝	(䱽|䲝|鯧|鲳)
䲞	(𩶘|䲞)
䲟	(鮣|䲟)
䲠	(鰆|䲠)
䲡	(鰌|䲡|魷|鰍|鱿|鳅)
䲢	(鰧|䲢)
䲣	(䱷|䲣|漁|渔)
䲤	(鿐|䲤)
䲰	(𪉂|䲰)
䴉	(鹮|䴉)
䴓	(鳾|䴓)
䴔	(鵁|䴔)
䴕	(鴷|䴕)
䴖	(鶄|䴖)
䴗	(鶪|䴗)
䴘	(鷈|䴘)
䴙	(鷿|䴙)
䴬	(𪎈|䴬)
䴴	(𪎋|䴴)
䴹	(餜|䴹|馃)
䵑	(䵒|䵑)
䵒	(䵑|䵒)
䶏	(涕|䶏|洟)
䶮	(龑|䶮)
一	(壹|弌|一|搋|扠)
七	(柒|七|漆|㯃|桼)
丄	(上|丄)
丅	(下|丅)
万	(卍|萬|万|卐)
三	(叁|三|參|叄|参|叅|蓡|薓|參)
上	(丄|上)
下	(丅|下)
丌	(其|丌|亓)
不	(不|不)
与	(與|与)
丐	(匃|丐|匄)
丑	(醜|丑)
专	(專|专|専|耑)
丕	(仳|丕)
世	(丗|卋|世)
丗	(世|丗|卋)
丘	(㐀|丠|坵|丘)
业	(業|业)
丛	(叢|丛|樷)
东	(東|东)
丝	(絲|丝|糸|纟|糹)
丟	(丢|丟)
丠	(丘|㐀|丠|坵)
両	(两|兩|両|兩)
丢	(丟|丢)
丣	(酉|丣|酋)
两	(両|兩|两|兩)
严	(嚴|严|厳)
